"VOG.number"	"Host.Domain"	"Number.of.Proteins"	"Number.of.Genomes"	"Number.of.Known.Virus.Families"	"Number.of.Known.Virus.Genera"	"Proteins.Annotations"	"Mapping.to.POGs.2013"	"Short.Annotations"
"1990"	"VOG3046"	"Bacteria"	12	12	2	2	"hypothetical protein [n=3]; gp186 [n=2]; gp180 [n=1]; gp185 [n=1]; gp184 [n=1]; gp41 [n=1]; gp181 [n=1]; gp190 [n=1]; gp39 [n=1]; "	"Mapped to: POG3046"	NA
"1991"	"VOG3047"	"Bacteria"	5	5	1	3	"hypothetical protein [n=1]; gp62 [n=1]; gp41 [n=1]; gp58 [n=1]; gp46 [n=1]; "	"Mapped to: POG3047"	NA
"1992"	"VOG3048"	"Bacteria"	10	10	1	1	"hypothetical protein [n=6]; gp57 [n=1]; gp68 [n=1]; gp73 [n=1]; gp62 [n=1]; "	"Mapped to: POG3048"	NA
"1993"	"VOG3049"	"Bacteria"	14	14	1	1	"hypothetical protein [n=7]; gp67 [n=1]; gp64 [n=1]; gp71 [n=1]; gp78 [n=1]; gp63 [n=1]; gp62 [n=1]; gp72 [n=1]; "	"Mapped to: POG3049"	NA
"1994"	"VOG3050"	"Bacteria"	13	13	1	1	"RecA [n=6]; hypothetical protein [n=3]; gp58 [n=1]; gp63 [n=1]; gp74 [n=1]; gp62 [n=1]; "	"Mapped to: POG3050"	NA
"1995"	"VOG3051"	"Bacteria"	11	11	1	1	"hypothetical protein [n=5]; gp85 [n=2]; No annotation provided [n=1]; gp90 [n=1]; gp84 [n=1]; gp70 [n=1]; "	"Mapped to: POG3051"	NA
"1996"	"VOG3055"	"Bacteria"	16	16	1	1	"hypothetical protein [n=15]; putative uncharacterised protein [n=1]; "	"Mapped to: POG3055"	NA
"1997"	"VOG3056"	"Bacteria"	93	93	2	2	"hypothetical protein [n=83]; No annotation provided [n=3]; gp189 [n=3]; hypothetical cyanophage protein [n=2]; Hypothetical-Protein  [n=1]; "	"Mapped to: POG3056"	NA
"1998"	"VOG3057"	"Bacteria"	20	20	1	1	"hypothetical protein [n=10]; putative histone-like protein [n=7]; DNABII (DNA binding and bending) family protein [n=1]; putative uncharacterised protein [n=1]; histone-like protein [n=1]; "	"Mapped to: POG3057"	NA
"1999"	"VOG3058"	"Bacteria"	27	27	2	1	"hypothetical protein [n=25]; putative uncharacterised protein [n=1]; No annotation provided [n=1]; "	"Mapped to: POG3058"	NA
"2000"	"VOG3060"	"Bacteria"	18	18	2	1	"hypothetical protein [n=15]; hypothetical membrane protein [n=2]; No annotation provided [n=1]; "	"Mapped to: POG3060"	NA
"2001"	"VOG3061"	"Bacteria"	15	15	2	1	"hypothetical protein [n=14]; No annotation provided [n=1]; "	"Mapped to: POG3061"	NA
"2002"	"VOG3064"	"Bacteria"	12	12	2	1	"hypothetical protein [n=11]; putative uncharacterised protein [n=1]; "	"Mapped to: POG3064"	NA
"2003"	"VOG3066"	"Bacteria"	12	12	1	1	"hypothetical protein [n=12]; "	"Mapped to: POG3066"	NA
"2004"	"VOG3074"	"Bacteria"	18	18	1	1	"hypothetical protein [n=17]; No annotation provided [n=1]; "	"Mapped to: POG3074"	NA
"2005"	"VOG3077"	"Bacteria"	14	14	1	1	"hypothetical protein [n=14]; "	"Mapped to: POG3077"	NA
"2006"	"VOG3082"	"Bacteria"	17	17	1	1	"hypothetical protein [n=17]; "	"Mapped to: POG3082"	NA
"2007"	"VOG3083"	"Bacteria"	19	19	1	1	"hypothetical protein [n=18]; putative uncharacterised protein [n=1]; "	"Mapped to: POG3083"	NA
"2008"	"VOG3084"	"Bacteria"	9	9	1	1	"hypothetical protein [n=6]; No annotation provided [n=2]; putative uncharacterised protein [n=1]; "	"Mapped to: POG3084"	NA
"2009"	"VOG3085"	"Bacteria"	17	17	1	1	"hypothetical protein [n=17]; "	"Mapped to: POG3085"	NA
"2010"	"VOG3086"	"Bacteria"	18	18	1	1	"hypothetical protein [n=17]; putative uncharacterised protein [n=1]; "	"Mapped to: POG3086"	NA
"2011"	"VOG3087"	"Bacteria"	49	49	3	5	"hypothetical protein [n=44]; Upf89.0 [n=1]; VHS1048 protein [n=1]; conserved uncharacterised protein [n=1]; conserved hypothetical protein [n=1]; "	"Union of: POG3087; POG1688; POG0246"	NA
"2012"	"VOG3088"	"Bacteria"	14	14	1	1	"hypothetical protein [n=12]; phage associated protein [n=1]; unknown structural protein [n=1]; "	"Mapped to: POG3088"	NA
"2013"	"VOG3090"	"Bacteria"	17	17	1	1	"hypothetical protein [n=16]; unknown structural protein [n=1]; "	"Mapped to: POG3090"	NA
"2014"	"VOG3091"	"Bacteria"	7	7	1	1	"hypothetical protein [n=7]; "	"Mapped to: POG3091"	NA
"2015"	"VOG3093"	"Bacteria+Archaea"	32	32	2	3	"ATP-dependent helicase [n=9]; DNA helicase [n=7]; putative ATP-dependent helicase [n=4]; Rad3-related DNA helicase [n=2]; Rad3-like helicase [n=2]; putative DNA repair helicase Rad3 [n=1]; type III restriction enzyme, res subunit [n=1]; hypothetical protein [n=1]; ORF B494 [n=1]; gp239 [n=1]; type III restriction enzyme res subunit [n=1]; gp73 [n=1]; putative ATP-dependent DNA helicase [n=1]; "	"Union of: POG3093; POG3906"	NA
"2016"	"VOG3094"	"Bacteria"	13	13	1	1	"hypothetical protein [n=11]; phage associated protein [n=1]; "	"Mapped to: POG3094"	NA
"2017"	"VOG3099"	"Bacteria"	23	23	1	2	"hypothetical protein [n=20]; phage associated protein [n=1]; unknown structural protein [n=1]; gp148 [n=1]; "	"Mapped to: POG3099"	NA
"2018"	"VOG3101"	"Bacteria"	37	36	2	1	"hypothetical protein [n=22]; acyl carrier protein [n=7]; putative acyl carrier protein [n=4]; Acyl carrier protein [n=1]; acyl carrier protein ACP [n=1]; No annotation provided [n=1]; acyl carrier-like protein [n=1]; "	"Mapped to: POG3101"	NA
"2019"	"VOG3102"	"Bacteria"	31	31	1	2	"hypothetical protein [n=25]; von Willebrand factor type A domain protein [n=2]; putative uncharacterised protein [n=1]; marine proteobacterial sortase target protein [n=1]; vWFA domain containing protein [n=1]; putative vWa containing protein [n=1]; "	"Union of: POG3102; POG3103; POG3104"	NA
"2020"	"VOG3105"	"Bacteria"	18	18	1	2	"hypothetical protein [n=18]; "	"Mapped to: POG3105"	NA
"2021"	"VOG3108"	"Bacteria"	52	52	3	3	"hypothetical protein [n=52]; "	"Union of: POG3108; POG3109; POG3110"	NA
"2022"	"VOG3124"	"Bacteria"	17	17	1	1	"hypothetical protein [n=13]; putative baseplate wedge subunit [n=3]; putative baseplate wedge subunit gp7 [n=1]; "	"Mapped to: POG3124"	NA
"2023"	"VOG3125"	"Bacteria"	14	14	1	1	"hypothetical protein [n=14]; "	"Mapped to: POG3125"	NA
"2024"	"VOG3129"	"Bacteria"	17	17	2	1	"hypothetical protein [n=15]; phage associated protein [n=1]; unknown structural protein [n=1]; "	"Mapped to: POG3129"	NA
"2025"	"VOG3130"	"Bacteria"	19	19	1	1	"hypothetical protein [n=18]; unknown structural protein [n=1]; "	"Mapped to: POG3130"	NA
"2026"	"VOG3133"	"Bacteria"	28	28	2	1	"hypothetical protein [n=26]; putative uncharacterised protein [n=1]; hypothetical protein ORF031 [n=1]; "	"Mapped to: POG3133"	NA
"2027"	"VOG3136"	"Bacteria"	19	19	1	1	"hypothetical protein [n=17]; putative uncharacterised protein [n=1]; putative homing endonuclease F-LimXI [n=1]; "	"Mapped to: POG3136"	"endonuclease"
"2028"	"VOG3137"	"Bacteria"	13	13	1	1	"hypothetical protein [n=13]; "	"Mapped to: POG3137"	NA
"2029"	"VOG3138"	"Bacteria"	11	11	1	1	"hypothetical protein [n=10]; No annotation provided [n=1]; "	"Mapped to: POG3138"	NA
"2030"	"VOG3140"	"Bacteria"	15	15	1	1	"hypothetical protein [n=14]; putative uncharacterised protein [n=1]; "	"Mapped to: POG3140"	NA
"2031"	"VOG3141"	"Bacteria"	16	16	1	1	"hypothetical protein [n=16]; "	"Mapped to: POG3141"	NA
"2032"	"VOG3142"	"Bacteria"	20	20	2	1	"hypothetical protein [n=18]; putative uncharacterised protein [n=1]; putative aminotransferase [n=1]; "	"Mapped to: POG3142"	NA
"2033"	"VOG3143"	"Bacteria"	14	14	1	1	"hypothetical protein [n=11]; No annotation provided [n=3]; "	"Mapped to: POG3143"	NA
"2034"	"VOG3150"	"Bacteria"	20	20	1	1	"hypothetical protein [n=16]; No annotation provided [n=3]; putative uncharacterised protein [n=1]; "	"Mapped to: POG3150"	NA
"2035"	"VOG3151"	"Bacteria"	16	16	1	1	"hypothetical protein [n=11]; No annotation provided [n=3]; putative uncharacterised protein [n=1]; hypothetical membrane protein [n=1]; "	"Mapped to: POG3151"	NA
"2036"	"VOG3152"	"Bacteria"	7	7	1	1	"hypothetical protein [n=7]; "	"Mapped to: POG3152"	NA
"2037"	"VOG3153"	"Bacteria"	24	24	1	2	"hypothetical protein [n=20]; No annotation provided [n=3]; conserved uncharacterized protein [n=1]; "	"Mapped to: POG3153"	NA
"2038"	"VOG3155"	"Bacteria"	14	14	1	1	"hypothetical protein [n=12]; No annotation provided [n=2]; "	"Mapped to: POG3155"	NA
"2039"	"VOG3162"	"Bacteria"	14	14	2	1	"hypothetical protein [n=12]; No annotation provided [n=2]; "	"Mapped to: POG3162"	NA
"2040"	"VOG3167"	"Bacteria"	10	10	1	1	"hypothetical protein [n=6]; No annotation provided [n=4]; "	"Mapped to: POG3167"	NA
"2041"	"VOG3172"	"Bacteria"	12	12	1	1	"hypothetical protein [n=10]; No annotation provided [n=2]; "	"Mapped to: POG3172"	NA
"2042"	"VOG3173"	"Bacteria"	7	7	1	2	"hypothetical protein [n=3]; gp84 [n=1]; gp28 [n=1]; gp82 [n=1]; gp75 [n=1]; "	"Mapped to: POG3173"	NA
"2043"	"VOG3174"	"Bacteria"	10	10	1	1	"hypothetical protein [n=5]; gp85 [n=1]; gp82 [n=1]; gp88 [n=1]; gp84 [n=1]; carboxylase [n=1]; "	"Mapped to: POG3174"	NA
"2044"	"VOG3175"	"Bacteria"	14	14	2	3	"hypothetical protein [n=13]; hypothetical protein KVP40.0188 [n=1]; "	"Mapped to: POG3175"	NA
"2045"	"VOG3178"	"Bacteria"	20	20	2	1	"major capsid protein [n=6]; hypothetical protein [n=4]; capsid protein [n=3]; putative capsid protein [n=2]; capsid related protein [n=2]; putative capsid related protein [n=1]; gp34 [n=1]; gp8 [n=1]; "	"Mapped to: POG3178"	"capsid"
"2046"	"VOG3179"	"Bacteria"	32	32	3	3	"hypothetical protein [n=15]; putative NlpC/P60 family cell wall peptidase [n=6]; tail assembly protein [n=2]; No annotation provided [n=1]; possible tail assembly protein [n=1]; BcepGomrgp21 [n=1]; putative tail structure protein [n=1]; endopeptidase [n=1]; putative tail assembly protein [n=1]; putative NlpC/P60 hydrolase family protein [n=1]; "	"Mapped to: POG3179"	"tail assembly protein"
"2047"	"VOG3180"	"Bacteria"	3	3	3	2	"maturation/adhesion protein [n=2]; predicted tail fiber protein [n=1]; "	"Mapped to: POG3180"	"tail protein"
"2048"	"VOG3181"	"Bacteria"	6	6	1	2	"gp82 [n=2]; gp81 [n=1]; gp46 [n=1]; gp88 [n=1]; gp87 [n=1]; "	"Mapped to: POG3181"	NA
"2049"	"VOG3185"	"Bacteria"	4	4	1	1	"hypothetical protein [n=1]; gp199 [n=1]; gp228 [n=1]; gp226 [n=1]; "	"Mapped to: POG3185"	NA
"2050"	"VOG3188"	"Bacteria"	5	5	1	2	"gp18 [n=2]; gp26 [n=1]; gp16a [n=1]; hypothetical protein [n=1]; "	"Mapped to: POG3188"	NA
"2051"	"VOG3189"	"Bacteria"	6	6	1	2	"hypothetical protein [n=2]; gp30 [n=2]; gp33 [n=1]; gp31 [n=1]; "	"Mapped to: POG3189"	NA
"2052"	"VOG3193"	"Bacteria"	12	12	1	2	"hypothetical protein [n=7]; gp45 [n=2]; gp61 [n=1]; gp44 [n=1]; gp70 [n=1]; "	"Mapped to: POG3193"	NA
"2053"	"VOG3196"	"Bacteria"	19	19	1	1	"hypothetical protein [n=13]; gp46 [n=2]; gp48 [n=1]; gp47 [n=1]; gp45 [n=1]; gp49 [n=1]; "	"Mapped to: POG3196"	NA
"2054"	"VOG3197"	"Bacteria"	7	7	1	1	"hypothetical protein [n=3]; gp4 [n=2]; gp3 [n=2]; "	"Mapped to: POG3197"	NA
"2055"	"VOG3198"	"Bacteria"	7	7	1	1	"hypothetical protein [n=2]; gp14 [n=1]; gp18 [n=1]; capsid maturation protease [n=1]; gp15 [n=1]; gp16 [n=1]; "	"Mapped to: POG3198"	NA
"2056"	"VOG3199"	"Bacteria"	7	7	1	1	"gp22 [n=1]; gp20 [n=1]; gp24 [n=1]; hypothetical protein [n=1]; "	"Mapped to: POG3199"	NA
"2057"	"VOG3200"	"Bacteria"	7	7	1	1	"hypothetical protein [n=3]; gp26 [n=1]; gp28 [n=1]; gp29 [n=1]; gp25 [n=1]; "	"Mapped to: POG3200"	NA
"2058"	"VOG3201"	"Bacteria"	5	5	1	1	"gp29 [n=1]; gp27 [n=1]; gp26 [n=1]; gp30 [n=1]; hypothetical protein [n=1]; "	"Mapped to: POG3201"	NA
"2059"	"VOG3202"	"Bacteria"	5	5	1	1	"gp30 [n=1]; gp32 [n=1]; tail assembly chaperone [n=1]; gp29 [n=1]; gp33 [n=1]; "	"Mapped to: POG3202"	"tail protein"
"2060"	"VOG3203"	"Bacteria"	7	7	1	1	"hypothetical protein [n=3]; gp46 [n=2]; gp44 [n=1]; gp41 [n=1]; "	"Mapped to: POG3203"	NA
"2061"	"VOG3204"	"Bacteria"	7	7	1	1	"hypothetical protein [n=3]; gp62 [n=2]; gp72 [n=1]; gp55 [n=1]; "	"Mapped to: POG3204"	NA
"2062"	"VOG3205"	"Bacteria"	7	7	1	1	"hypothetical protein [n=3]; gp63 [n=2]; gp73 [n=1]; gp56 [n=1]; "	"Mapped to: POG3205"	NA
"2063"	"VOG3206"	"Bacteria"	19	19	1	2	"hypothetical protein [n=6]; gp49 [n=3]; gp64 [n=2]; gp50 [n=2]; gp51 [n=2]; gp62 [n=1]; gp47 [n=1]; gp57 [n=1]; gp74 [n=1]; "	"Mapped to: POG3206"	NA
"2064"	"VOG3208"	"Bacteria"	7	7	1	1	"hypothetical protein [n=3]; gp68 [n=1]; gp67 [n=1]; gp78 [n=1]; gp64 [n=1]; "	"Mapped to: POG3208"	NA
"2065"	"VOG3209"	"Bacteria"	7	7	1	1	"hypothetical protein [n=3]; gp68 [n=1]; gp65 [n=1]; gp70 [n=1]; gp79 [n=1]; "	"Mapped to: POG3209"	NA
"2066"	"VOG3210"	"Bacteria"	5	5	1	1	"hypothetical protein [n=2]; scaffolding protein [n=2]; gp5 [n=1]; "	"Mapped to: POG3210"	"scaffolding protein"
"2067"	"VOG3211"	"Bacteria"	3	3	1	2	"gp15 [n=1]; hypothetical protein [n=1]; gp33 [n=1]; "	"Mapped to: POG3211"	NA
"2068"	"VOG3212"	"Bacteria"	18	18	1	3	"hypothetical protein [n=11]; gp37 [n=3]; gp51 [n=1]; gp40 [n=1]; gp54 [n=1]; gp38 [n=1]; "	"Union of: POG3212; POG3191"	NA
"2069"	"VOG3213"	"Bacteria"	8	8	1	2	"hypothetical protein [n=6]; gp52 [n=1]; gp39 [n=1]; "	"Mapped to: POG3213"	NA
"2070"	"VOG3214"	"Bacteria"	9	9	1	2	"hypothetical protein [n=5]; gp45 [n=1]; gp44 [n=1]; gp57 [n=1]; gp43 [n=1]; "	"Mapped to: POG3214"	NA
"2071"	"VOG3215"	"Bacteria"	7	7	1	2	"FtsK-like protein [n=3]; gp51 [n=1]; hypothetical protein [n=1]; gp50 [n=1]; FtsK [n=1]; "	"Union of: POG3215; POG2367; POG3216"	NA
"2072"	"VOG3217"	"Bacteria"	6	6	1	2	"hypothetical protein [n=3]; gp52 [n=1]; gp68 [n=1]; gp53 [n=1]; "	"Mapped to: POG3217"	NA
"2073"	"VOG3218"	"Bacteria"	9	9	2	2	"hypothetical protein [n=6]; No annotation provided [n=1]; gp43 [n=1]; gp74 [n=1]; "	"Mapped to: POG3218"	NA
"2074"	"VOG3220"	"Bacteria"	6	6	1	1	"hypothetical protein [n=3]; gp89 [n=2]; gp93 [n=1]; "	"Mapped to: POG3220"	NA
"2075"	"VOG3221"	"Bacteria"	8	8	1	2	"gp90 [n=3]; hypothetical protein [n=2]; gp94 [n=1]; gp98 [n=1]; gp76 [n=1]; "	"Mapped to: POG3221"	NA
"2076"	"VOG3222"	"Bacteria+Archaea"	45	45	2	4	"GTP cyclohydrolase I [n=12]; gp6 [n=5]; GTP cyclohydrolase [n=5]; GTP cyclohydrolase I type 1 [n=4]; GTP cyclohydrolase I / queuosine biosynthesis protein FolE [n=3]; putative GTP cyclohydrolase I protein [n=3]; GTP cyclohydrolase 1 [n=3]; FolE [n=2]; queuosine biosynthesis protein FolE [n=1]; GTP cyclohydrolase 1 [Enterobacteria phage 9g] [n=1]; hypothetical protein [n=1]; hypothetical phage protein [n=1]; BcepGomrgp33 [n=1]; putative GTP cyclohydrolase [n=1]; putative T-Fold protein [n=1]; putative GTP cyclohydrolase I [n=1]; "	"Union of: POG3222; POG1023"	NA
"2077"	"VOG3227"	"Bacteria"	16	16	3	3	"putative tail fiber [n=5]; tail fiber protein [n=4]; putative tail fiber protein [n=2]; tail fiber [n=1]; hypothetical protein [n=1]; phage tail fiber protein [n=1]; hypothetical tail fiber [n=1]; "	"Mapped to: POG3227"	"tail protein"
"2078"	"VOG3232"	"Bacteria"	7	7	1	1	"hypothetical protein [n=6]; gene 19 protein [n=1]; "	"Mapped to: POG3232"	NA
"2079"	"VOG3233"	"Bacteria"	4	4	2	0	"phosphatidylglycerophosphatase A [n=1]; hypothetical protein [n=1]; low temp. requirement C protein [n=1]; gp55 [n=1]; "	"Mapped to: POG3233"	NA
"2080"	"VOG3235"	"Bacteria"	5	5	2	1	"IMP dehydrogenase/GMP reductase [n=2]; ORF012 [n=1]; GMP reductase [n=1]; gp120 [n=1]; "	"Mapped to: POG3235"	NA
"2081"	"VOG3237"	"Bacteria"	8	8	2	1	"hypothetical protein [n=5]; gp27.3 [n=1]; plasmid replication-relaxation protein [n=1]; gp146 [n=1]; "	"Mapped to: POG3237"	NA
"2082"	"VOG3238"	"Bacteria"	5	4	2	2	"small acid-soluble spore protein [n=1]; gp417 [n=1]; gp267 [n=1]; small acid-soluble spore protein C [n=1]; gp34.25 [n=1]; "	"Mapped to: POG3238"	NA
"2083"	"VOG3239"	"Bacteria"	28	28	2	1	"putative DNA helicase [n=7]; putative UvrD-type helicase [n=5]; putative helicase [n=3]; No annotation provided [n=3]; hypothetical protein [n=2]; putative UvrD-like helicase [n=2]; putative ATP-dependent DNA helicase [n=1]; helicase [n=1]; RecBCD enzyme subunit [n=1]; PcrA helicase [n=1]; putative DNA/RNA helicase [n=1]; gp299 [n=1]; "	"Mapped to: POG3239"	NA
"2084"	"VOG3241"	"Bacteria"	19	19	2	2	"Ser/Thr protein phosphatase family protein [n=5]; metallophosphoesterase [n=3]; hypothetical protein [n=3]; gp348 [n=1]; putative phosphatase [n=1]; Ser/Thr phosphatase protein [n=1]; calcineurin-like phosphoesterase [n=1]; Metallophosphoesterase [n=1]; putative protein metallo-phosphoesterase [n=1]; calcineurin-like phosphoesterase superfamily domain protein [n=1]; phosphoesterase [n=1]; "	"Mapped to: POG3241"	NA
"2085"	"VOG3244"	"Bacteria"	7	7	1	1	"putative UV damage repair endonuclease [n=2]; hypothetical protein [n=2]; UV damage endonuclease [n=1]; putative UV DNA damage endonuclease [n=1]; gp511 [n=1]; "	"Mapped to: POG3244"	"endonuclease"
"2086"	"VOG3245"	"Bacteria"	12	12	2	1	"hypothetical protein [n=10]; ORF042 [n=1]; putative virion structural protein [n=1]; "	"Mapped to: POG3245"	NA
"2087"	"VOG3246"	"Bacteria"	13	13	2	1	"hypothetical protein [n=10]; B-family DNA-polymerase catalytic subunit [n=1]; ORF050 [n=1]; T4-like DNA polymerase [n=1]; "	"Mapped to: POG3246"	NA
"2088"	"VOG3247"	"Bacteria"	12	12	2	1	"hypothetical protein [n=11]; ORF066 [n=1]; "	"Mapped to: POG3247"	NA
"2089"	"VOG3248"	"Bacteria"	12	12	2	1	"hypothetical protein [n=11]; ORF070 [n=1]; "	"Mapped to: POG3248"	NA
"2090"	"VOG3249"	"Bacteria"	11	11	2	1	"hypothetical protein [n=3]; No annotation provided [n=1]; putative RNA polymerase beta prime subunit [n=1]; putative DNA-directed RNA polymerase beta' subunit 1 [n=1]; ORF074 [n=1]; putative DNA-directed RNA polymerase beta subunit [n=1]; putative ATP-dependent DNA helicase [n=1]; putative DNA-directed RNA polymerase beta' subunit [n=1]; RNA polymerase beta' subunit [n=1]; "	"Mapped to: POG3249"	NA
"2091"	"VOG3251"	"Bacteria"	10	10	2	1	"hypothetical protein [n=9]; ORF077 [n=1]; "	"Mapped to: POG3251"	NA
"2092"	"VOG3254"	"Bacteria"	12	12	2	1	"hypothetical protein [n=4]; virion structural protein [n=2]; putative virion structural protein 1 [n=2]; putative virion structural protein [n=2]; putative phage virion structural protein [n=1]; ORF084 [n=1]; "	"Mapped to: POG3254"	NA
"2093"	"VOG3255"	"Bacteria"	12	12	2	1	"virion structural protein [n=3]; hypothetical protein [n=3]; putative virion structural protein 2 [n=2]; phage virion structural protein [n=1]; ORF087 [n=1]; putative virion stractural protein [n=1]; putative virion structural protein [n=1]; "	"Mapped to: POG3255"	NA
"2094"	"VOG3256"	"Bacteria"	12	12	2	1	"virion structural protein [n=3]; hypothetical protein [n=3]; putative virion structural protein 3 [n=2]; ORF088 [n=1]; putative virion structural protein [n=1]; putative virion stractural protein [n=1]; phage virion structural protein [n=1]; "	"Mapped to: POG3256"	NA
"2095"	"VOG3257"	"Bacteria"	12	12	2	1	"hypothetical protein [n=4]; virion structural protein [n=3]; putative virion structural protein 4 [n=2]; ORF089 [n=1]; putative minor virion structural protein [n=1]; phage virion structural protein [n=1]; "	"Mapped to: POG3257"	NA
"2096"	"VOG3258"	"Bacteria"	12	12	2	1	"hypothetical protein [n=3]; putative virion structural protein [n=2]; putative virion structural protein 5 [n=2]; virion structural protein [n=2]; putative virion stractural protein [n=1]; phage virion structural protein [n=1]; ORF090 [n=1]; "	"Mapped to: POG3258"	NA
"2097"	"VOG3259"	"Bacteria"	12	12	2	1	"hypothetical protein [n=10]; putative virion structural protein [n=1]; ORF098 [n=1]; "	"Mapped to: POG3259"	NA
"2098"	"VOG3260"	"Bacteria"	12	12	2	1	"hypothetical protein [n=3]; virion structural protein [n=3]; putative virion structural protein 6 [n=2]; putative virion stractural protein [n=1]; putative virion structural protein [n=1]; ORF099 [n=1]; phage virion structural protein [n=1]; "	"Mapped to: POG3260"	NA
"2099"	"VOG3261"	"Bacteria"	12	12	2	1	"hypothetical protein [n=5]; virion structural protein [n=3]; putative virion structural protein 7 [n=2]; ORF101 [n=1]; putative virion structural protein [n=1]; "	"Mapped to: POG3261"	NA
"2100"	"VOG3262"	"Bacteria"	12	12	2	1	"putative helicase [n=4]; hypothetical protein [n=3]; DnaB helicase [n=1]; putative DNAB-like replicative helicase [n=1]; phage putative helicase [n=1]; putative DnaB helicase [n=1]; ORF118 [n=1]; "	"Mapped to: POG3262"	NA
"2101"	"VOG3263"	"Bacteria"	12	12	2	1	"major capsid protein [n=3]; putative major capsid protein [n=3]; hypothetical protein [n=2]; phage major capsid protein [n=1]; ORF120 [n=1]; putative major head protein [n=1]; major head protein [n=1]; "	"Mapped to: POG3263"	"capsid"
"2102"	"VOG3264"	"Bacteria"	12	12	2	1	"hypothetical protein [n=4]; virion structural protein [n=3]; putative virion structural protein 8 [n=2]; putative portal protein [n=1]; ORF129 [n=1]; putative virion stractural protein [n=1]; "	"Mapped to: POG3264"	"portal"
"2103"	"VOG3265"	"Bacteria"	12	12	2	1	"hypothetical protein [n=3]; virion structural protein [n=3]; putative virion structural protein [n=2]; putative virion structural protein 9 [n=2]; putative virion stractural protein [n=1]; ORF128 [n=1]; "	"Mapped to: POG3265"	NA
"2104"	"VOG3266"	"Bacteria"	12	12	2	1	"hypothetical protein [n=4]; virion structural protein [n=3]; putative virion structural protein 10 [n=2]; putative major virion structural protein [n=1]; putative virion structural protein [n=1]; ORF139 [n=1]; "	"Mapped to: POG3266"	NA
"2105"	"VOG3267"	"Bacteria"	12	12	2	1	"hypothetical protein [n=10]; putative RuvC [n=1]; ORF140 [n=1]; "	"Mapped to: POG3267"	NA
"2106"	"VOG3268"	"Bacteria"	10	10	2	1	"hypothetical protein [n=8]; ORF151 [n=1]; No annotation provided [n=1]; "	"Mapped to: POG3268"	NA
"2107"	"VOG3269"	"Bacteria"	11	11	2	1	"hypothetical protein [n=6]; virion structural protein [n=3]; ORF130 [n=1]; putative virion structural protein [n=1]; "	"Mapped to: POG3269"	NA
"2108"	"VOG3270"	"Bacteria"	12	12	2	1	"hypothetical protein [n=10]; putative virion structural protein [n=1]; ORF161 [n=1]; "	"Mapped to: POG3270"	NA
"2109"	"VOG3271"	"Bacteria"	12	12	2	1	"virion structural protein [n=3]; hypothetical protein [n=3]; putative virion structural protein [n=2]; putative virion structural protein 16 [n=1]; putative virion structural protein 21 [n=1]; putative virion stractural protein [n=1]; ORF157 [n=1]; "	"Mapped to: POG3271"	NA
"2110"	"VOG3272"	"Bacteria"	12	12	2	1	"hypothetical protein [n=7]; putative UvsX [n=1]; ORF152 [n=1]; putative UvsX protein [n=1]; UvsX [n=1]; hypothetical uvsX [n=1]; "	"Mapped to: POG3272"	NA
"2111"	"VOG3273"	"Bacteria"	12	12	2	1	"hypothetical protein [n=10]; ORF147 [n=1]; putative virion structural protein [n=1]; "	"Mapped to: POG3273"	NA
"2112"	"VOG3274"	"Bacteria"	12	12	2	1	"hypothetical protein [n=10]; ORF176 [n=1]; putative virion structural protein [n=1]; "	"Mapped to: POG3274"	NA
"2113"	"VOG3275"	"Bacteria"	12	12	2	1	"virion structural protein [n=3]; hypothetical protein [n=3]; putative virion structural protein [n=2]; putative virion structural protein 23 [n=1]; putative virion structural protein 18 [n=1]; putative virion stractural protein [n=1]; ORF175 [n=1]; "	"Mapped to: POG3275"	NA
"2114"	"VOG3277"	"Bacteria"	12	12	2	1	"hypothetical protein [n=2]; putative virion structural protein [n=2]; virion structural protein [n=1]; putative virion structural protein 24 [n=1]; ORF030 [n=1]; major virion structural protein [n=1]; putative tail tube [n=1]; putative virion structural protein 19 [n=1]; putative major virion structural protein [n=1]; tail tube protein [n=1]; "	"Mapped to: POG3277"	"tail protein"
"2115"	"VOG3278"	"Bacteria"	12	12	2	1	"putative tail sheath protein [n=3]; hypothetical protein [n=2]; ORF029 [n=1]; tail sheath protein [n=1]; putative major tailsheath [n=1]; putative phage tail sheath protein [n=1]; tail sheath [n=1]; putative tail sheath [n=1]; tail shealth protein [n=1]; "	"Mapped to: POG3278"	"tail protein"
"2116"	"VOG3279"	"Bacteria"	11	11	2	1	"putative virion structural protein [n=3]; hypothetical protein [n=2]; virion structural protein [n=2]; putative virion structural protein 25 [n=1]; ORF027 [n=1]; putative virion stractural protein [n=1]; putative virion structural protein 20 [n=1]; "	"Mapped to: POG3279"	NA
"2117"	"VOG3280"	"Bacteria"	12	12	2	1	"putative virion structural protein [n=3]; hypothetical protein [n=3]; virion structural protein [n=2]; ORF026 [n=1]; putative virion structural protein 26 [n=1]; putative virion stractural protein [n=1]; putative virion structural protein 21 [n=1]; "	"Mapped to: POG3280"	NA
"2118"	"VOG3281"	"Bacteria"	13	13	2	1	"hypothetical protein [n=11]; putative virion structural protein [n=1]; ORF032 [n=1]; "	"Mapped to: POG3281"	NA
